number,group,explode_layer,parent,material,name
10,紧固件,hip_dual_left,left_hip_roll_link,ATRI_fastener,adapter-output-screw-left-0
10,紧固件,hip_dual_left,left_hip_roll_link,ATRI_fastener,adapter-output-screw-left-1
10,紧固件,hip_dual_left,left_hip_roll_link,ATRI_fastener,adapter-output-screw-left-2
10,紧固件,hip_dual_left,left_hip_roll_link,ATRI_fastener,adapter-output-screw-left-3
10,紧固件,hip_dual_right,right_hip_roll_link,ATRI_fastener,adapter-output-screw-right-0
10,紧固件,hip_dual_right,right_hip_roll_link,ATRI_fastener,adapter-output-screw-right-1
10,紧固件,hip_dual_right,right_hip_roll_link,ATRI_fastener,adapter-output-screw-right-2
10,紧固件,hip_dual_right,right_hip_roll_link,ATRI_fastener,adapter-output-screw-right-3
10,紧固件,waist_dual,trunk_roll_link,ATRI_fastener,adapter-output-screw-trunk-0
10,紧固件,waist_dual,trunk_roll_link,ATRI_fastener,adapter-output-screw-trunk-1
10,紧固件,waist_dual,trunk_roll_link,ATRI_fastener,adapter-output-screw-trunk-2
10,紧固件,waist_dual,trunk_roll_link,ATRI_fastener,adapter-output-screw-trunk-3
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-angle
10,紧固件,arm_left,left_hand,ATRI_fastener,arm-left-fore-output-bolt--4.95--4.95
10,紧固件,arm_left,left_hand,ATRI_fastener,arm-left-fore-output-bolt--4.95-4.95
10,紧固件,arm_left,left_hand,ATRI_fastener,arm-left-fore-output-bolt-4.95--4.95
10,紧固件,arm_left,left_hand,ATRI_fastener,arm-left-fore-output-bolt-4.95-4.95
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer--4.95--4.95-0
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer--4.95--4.95-1
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer--4.95-4.95-0
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer--4.95-4.95-1
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer-4.95--4.95-0
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer-4.95--4.95-1
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer-4.95-4.95-0
6,手臂,arm_left,left_hand,ATRI_al,arm-left-fore-output-spacer-4.95-4.95-1
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-fixed-aux-nut
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-fixed-bolt--15.0
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-fixed-bolt--36.0
7,夹爪,gripper_left,left_hand,ATRI_al,arm-left-gripper-fixed-finger
7,夹爪,gripper_left,left_hand,ATRI_tpu,arm-left-gripper-fixed-pad
7,夹爪,gripper_left,left_hand,ATRI_al,arm-left-gripper-fixed-spacer--15.0
7,夹爪,gripper_left,left_hand,ATRI_al,arm-left-gripper-fixed-spacer--36.0
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-bolt--4.95--4.95
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-bolt--4.95-4.95
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-bolt-4.95--4.95
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-bolt-4.95-4.95
7,夹爪,gripper_left,left_grip,ATRI_al,arm-left-gripper-moving-finger
7,夹爪,gripper_left,left_grip,ATRI_tpu,arm-left-gripper-moving-pad
7,夹爪,gripper_left,left_grip,ATRI_al,arm-left-gripper-moving-spacer--4.95--4.95-0
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-spacer--4.95--4.95-1
7,夹爪,gripper_left,left_grip,ATRI_al,arm-left-gripper-moving-spacer--4.95-4.95-0
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-spacer--4.95-4.95-1
7,夹爪,gripper_left,left_grip,ATRI_al,arm-left-gripper-moving-spacer-4.95--4.95-0
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-spacer-4.95--4.95-1
7,夹爪,gripper_left,left_grip,ATRI_al,arm-left-gripper-moving-spacer-4.95-4.95-0
10,紧固件,gripper_left,left_grip,ATRI_fastener,arm-left-gripper-moving-spacer-4.95-4.95-1
7,夹爪,gripper_left,left_hand,ATRI_al,arm-left-gripper-pad-support-0
7,夹爪,gripper_left,left_hand,ATRI_al,arm-left-gripper-pad-support-1
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-pad-support-bolt-0
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-pad-support-bolt-1
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-pad-support-nut-0
10,紧固件,gripper_left,left_hand,ATRI_fastener,arm-left-gripper-pad-support-nut-1
6,手臂,arm_left,left_upper,ATRI_al,arm-left-shoulder-angle
10,紧固件,arm_left,left_upper,ATRI_fastener,arm-left-shoulder-output-bolt--4.95--4.95
10,紧固件,arm_left,left_upper,ATRI_fastener,arm-left-shoulder-output-bolt--4.95-4.95
10,紧固件,arm_left,left_upper,ATRI_fastener,arm-left-shoulder-output-bolt-4.95--4.95
10,紧固件,arm_left,left_upper,ATRI_fastener,arm-left-shoulder-output-bolt-4.95-4.95
6,手臂,arm_left,left_upper,ATRI_al,arm-left-shoulder-output-spacer--4.95--4.95-0
6,手臂,arm_left,left_upper,ATRI_al,arm-left-shoulder-output-spacer--4.95-4.95-0
6,手臂,arm_left,left_upper,ATRI_al,arm-left-shoulder-output-spacer-4.95--4.95-0
6,手臂,arm_left,left_upper,ATRI_al,arm-left-shoulder-output-spacer-4.95-4.95-0
6,手臂,arm_left,left_fore,ATRI_al,arm-left-upper-angle
10,紧固件,arm_left,left_fore,ATRI_fastener,arm-left-upper-output-bolt--4.95--4.95
10,紧固件,arm_left,left_fore,ATRI_fastener,arm-left-upper-output-bolt--4.95-4.95
10,紧固件,arm_left,left_fore,ATRI_fastener,arm-left-upper-output-bolt-4.95--4.95
10,紧固件,arm_left,left_fore,ATRI_fastener,arm-left-upper-output-bolt-4.95-4.95
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-angle
10,紧固件,arm_right,right_hand,ATRI_fastener,arm-right-fore-output-bolt--4.95--4.95
10,紧固件,arm_right,right_hand,ATRI_fastener,arm-right-fore-output-bolt--4.95-4.95
10,紧固件,arm_right,right_hand,ATRI_fastener,arm-right-fore-output-bolt-4.95--4.95
10,紧固件,arm_right,right_hand,ATRI_fastener,arm-right-fore-output-bolt-4.95-4.95
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer--4.95--4.95-0
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer--4.95--4.95-1
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer--4.95-4.95-0
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer--4.95-4.95-1
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer-4.95--4.95-0
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer-4.95--4.95-1
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer-4.95-4.95-0
6,手臂,arm_right,right_hand,ATRI_al,arm-right-fore-output-spacer-4.95-4.95-1
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-fixed-aux-nut
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-fixed-bolt--15.0
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-fixed-bolt--36.0
7,夹爪,gripper_right,right_hand,ATRI_al,arm-right-gripper-fixed-finger
7,夹爪,gripper_right,right_hand,ATRI_tpu,arm-right-gripper-fixed-pad
7,夹爪,gripper_right,right_hand,ATRI_al,arm-right-gripper-fixed-spacer--15.0
7,夹爪,gripper_right,right_hand,ATRI_al,arm-right-gripper-fixed-spacer--36.0
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-bolt--4.95--4.95
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-bolt--4.95-4.95
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-bolt-4.95--4.95
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-bolt-4.95-4.95
7,夹爪,gripper_right,right_grip,ATRI_al,arm-right-gripper-moving-finger
7,夹爪,gripper_right,right_grip,ATRI_tpu,arm-right-gripper-moving-pad
7,夹爪,gripper_right,right_grip,ATRI_al,arm-right-gripper-moving-spacer--4.95--4.95-0
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-spacer--4.95--4.95-1
7,夹爪,gripper_right,right_grip,ATRI_al,arm-right-gripper-moving-spacer--4.95-4.95-0
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-spacer--4.95-4.95-1
7,夹爪,gripper_right,right_grip,ATRI_al,arm-right-gripper-moving-spacer-4.95--4.95-0
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-spacer-4.95--4.95-1
7,夹爪,gripper_right,right_grip,ATRI_al,arm-right-gripper-moving-spacer-4.95-4.95-0
10,紧固件,gripper_right,right_grip,ATRI_fastener,arm-right-gripper-moving-spacer-4.95-4.95-1
7,夹爪,gripper_right,right_hand,ATRI_al,arm-right-gripper-pad-support-0
7,夹爪,gripper_right,right_hand,ATRI_al,arm-right-gripper-pad-support-1
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-pad-support-bolt-0
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-pad-support-bolt-1
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-pad-support-nut-0
10,紧固件,gripper_right,right_hand,ATRI_fastener,arm-right-gripper-pad-support-nut-1
6,手臂,arm_right,right_upper,ATRI_al,arm-right-shoulder-angle
